time_start,time_end,estimated,amount_usd,service,tag_lsmc_project,tag_lsmc_project_value
2026-06-01,2026-06-19,True,0.0,Amazon Simple Queue Service,lsmc-project$,
2026-06-01,2026-06-19,True,3864.5769684251,Amazon Simple Storage Service,lsmc-project$,
2026-06-01,2026-06-19,True,26.2894830535,Amazon Simple Storage Service,lsmc-project$ultima-wgs,ultima-wgs
2026-06-01,2026-06-19,True,0.1118110791,Amazon Simple Storage Service,lsmc-project$zebra-day+us-west-2,zebra-day+us-west-2
2026-06-01,2026-06-19,True,91.5723044573,Amazon Virtual Private Cloud,lsmc-project$,
2026-06-01,2026-06-19,True,0.000230555,Amazon Virtual Private Cloud,lsmc-project$dayhoff-dev,dayhoff-dev
2026-06-01,2026-06-19,True,0.00031389,Amazon Virtual Private Cloud,lsmc-project$dayhoff-inf,dayhoff-inf
2026-06-01,2026-06-19,True,0.00048195,Amazon Virtual Private Cloud,lsmc-project$dayhoff-jemdev,dayhoff-jemdev
2026-06-01,2026-06-19,True,0.000663895,Amazon Virtual Private Cloud,lsmc-project$dayhoff-jemdev2,dayhoff-jemdev2
2026-06-01,2026-06-19,True,0.001395855,Amazon Virtual Private Cloud,lsmc-project$dayhoff-jemdev3,dayhoff-jemdev3
2026-06-01,2026-06-19,True,0.001730585,Amazon Virtual Private Cloud,lsmc-project$dayhoff-jemdev5,dayhoff-jemdev5
2026-06-01,2026-06-19,True,0.000229165,Amazon Virtual Private Cloud,lsmc-project$dayhoff-joshdev,dayhoff-joshdev
2026-06-01,2026-06-19,True,129.3901835537,AmazonCloudWatch,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,CloudWatch Events,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,Tax,lsmc-project$,
